K,Injection_Rate,Avg_Cycles,Avg_Issued,Avg_Collisions,Avg_Stalled,Stall_Rate_%,Num_Runs
5,0.1,2226.0,221.0,0.0,221.0,100.0,3
5,0.5,520.0,221.0,31.0,221.0,100.0,3
5,1.0,519.0,221.0,31.0,245.0,110.9,3
5,1.5,519.0,221.0,31.0,245.0,110.9,3
5,2.0,519.0,221.0,31.0,245.0,110.9,3
10,0.1,2231.0,221.0,6.0,221.0,100.0,3
10,0.5,729.0,221.0,52.0,362.0,163.8,3
10,1.0,728.0,221.0,52.0,421.0,190.5,3
10,1.5,728.0,221.0,52.0,421.0,190.5,3
10,2.0,728.0,221.0,52.0,421.0,190.5,3
15,0.1,2236.0,221.0,24.0,221.0,100.0,3
15,0.5,1166.0,221.0,91.0,744.0,336.7,3
15,1.0,1165.0,221.0,91.0,777.0,351.6,3
15,1.5,1165.0,221.0,91.0,777.0,351.6,3
15,2.0,1165.0,221.0,91.0,777.0,351.6,3
20,0.1,2241.0,221.0,33.0,220.0,99.5,3
20,0.5,1381.0,221.0,112.0,913.0,413.1,3
20,1.0,1380.0,221.0,112.0,954.0,431.7,3
20,1.5,1380.0,221.0,112.0,954.0,431.7,3
20,2.0,1380.0,221.0,112.0,954.0,431.7,3
